"Date","<20y","21-30y","31-40y","41-50y","51-60y","61-70y","71-80","80+"
18322,4,5,6,1,3,7,7,6
18323,0,1,3,5,9,14,18,10
18324,2,1,1,6,6,4,16,16
18325,4,2,7,8,11,28,14,31
18326,1,3,5,10,7,20,22,31
18327,4,7,5,12,19,27,27,48
18328,3,7,4,4,27,20,24,29
18329,0,5,5,5,13,21,22,33
18330,8,3,5,11,21,26,41,80
18331,1,9,9,17,18,47,51,72
18332,2,11,10,20,38,49,74,84
18333,8,19,13,24,46,62,83,104
18334,7,9,34,39,66,86,97,145
18335,8,12,34,41,77,121,131,196
18336,14,14,27,50,104,137,147,214
18337,17,30,61,78,146,209,232,312
18338,16,34,60,82,150,233,273,310
18339,16,29,77,118,207,215,322,462
18340,19,38,101,140,233,328,333,407
18341,16,49,125,163,288,339,456,553
18342,27,43,82,154,276,354,385,419
18343,14,42,93,162,288,363,361,470
18344,31,68,160,254,420,558,644,672
18345,34,59,129,251,416,560,602,727
18346,27,63,176,262,530,649,667,764
18347,21,80,157,274,515,642,721,803
18348,33,73,180,354,630,739,744,926
18349,24,65,134,280,475,625,651,649
18350,25,47,113,246,371,503,499,621
18351,23,75,145,290,521,697,677,855
18352,31,60,130,259,540,680,640,844
18353,26,63,140,237,432,617,649,860
18354,34,51,131,194,375,530,607,841
18355,24,75,112,199,374,529,561,891
18356,30,36,84,188,317,371,429,686
18357,14,39,76,119,173,275,272,496
18358,25,46,115,179,310,391,482,798
18359,21,46,103,154,254,371,420,826
18360,15,44,72,116,243,330,408,799
18361,25,38,85,132,248,353,372,819
18362,19,48,70,115,218,319,362,810
18363,14,33,64,106,173,227,264,600
18364,20,76,83,93,145,183,202,469
18365,18,27,44,71,133,185,222,434
18366,29,30,57,84,195,204,296,634
18367,25,46,53,92,151,206,291,581
18368,11,26,46,82,156,181,294,618
18369,14,21,57,75,138,196,240,627
18370,9,22,37,63,77,136,158,406
18371,6,15,23,46,66,106,125,325
18372,19,24,35,63,107,156,205,479
18373,31,37,50,65,114,140,182,482
18374,11,23,27,43,70,120,170,440
18375,19,19,29,40,94,144,157,442
18376,10,22,37,41,75,118,164,402
18377,10,12,22,36,57,69,101,225
18378,9,15,31,29,46,43,79,181
18379,14,23,27,42,62,106,130,321
18380,11,14,29,44,74,87,131,325
18381,10,16,26,32,62,75,93,304
18382,12,16,25,25,61,91,115,296
18383,11,6,15,29,40,44,70,187
18384,9,9,24,22,32,36,77,176
18385,6,12,10,10,30,46,51,154
18386,7,11,17,27,39,60,86,179
18387,13,14,17,31,53,77,101,181
18388,10,13,13,35,38,71,79,196
18389,2,7,23,26,37,49,58,161
