"","LOCATION","overallIFRest","overallIFRLower","overallIFRUpper"
"1","ARG",0.531889909243169,0.366664681872381,0.82523390200659
"2","AUS",0.748870991343128,0.523256566623428,1.12464058022571
"3","AUT",0.924419837351476,0.650553065167243,1.36545772490534
"4","BEL",0.939653954079977,0.664628043957509,1.38912280197549
"5","BGR",0.973249166089801,0.682278327160412,1.43280151683187
"6","BRA",0.429778429548157,0.290419166196391,0.687087549990432
"7","CAN",0.815821649386587,0.569327804595479,1.2189331110275
"8","CHE",0.912626329616255,0.643603445767392,1.3505393638511
"9","CHL",0.545387630420227,0.37400226747809,0.846921797998603
"10","CHN",0.476942906112938,0.318660346114858,0.756239864730384
"11","COL",0.369477736650544,0.246160477103694,0.603166396437469
"12","CRI",0.384142204623974,0.257449048807192,0.624576075478245
"13","CYP",0.737996652036925,0.513407598681712,1.10860397741788
"14","CZE",0.875045081264357,0.610031557898561,1.29730639885644
"15","DEU",1.07711254036236,0.764233725581427,1.57686067420956
"16","DNK",0.920177887538716,0.645556403147726,1.35673647811201
"17","ESP",0.986220663400911,0.70034600002679,1.45449821064062
"18","EST",0.960521499617618,0.678816422524749,1.4169899835625
"19","EU28",0.975494461284338,0.689498887255418,1.43754072486193
"20","FIN",1.01683471974109,0.716934061000539,1.49166291254232
"21","FRA",0.979181279562105,0.694290871694052,1.44368866092999
"22","G20",0.505576067454311,0.344097554061428,0.792285977827415
"23","GBR",0.895889668481709,0.631568720558496,1.32552716199535
"24","GRC",1.11703269059544,0.796884272273638,1.63211693895497
"25","HRV",0.970915216903319,0.682516703817465,1.43192657497575
"26","HUN",0.887960928569966,0.62020036639502,1.31729847024858
"27","IDN",0.258542822848341,0.164835084276266,0.451767433842499
"28","IND",0.274998361043417,0.178108287936512,0.473164262281495
"29","IRL",0.653260903064948,0.452508983748249,0.993917260539652
"30","ISL",0.672501001638684,0.466877898174766,1.02115310981453
"31","ISR",0.551158689219575,0.381292432026217,0.852405915049832
"32","ITA",1.15101374861625,0.820378005389346,1.67881592078269
"33","JPN",1.39778698533444,1.003892294308,2.01444647967727
"34","KOR",0.681212581661259,0.468372154192477,1.03593934370539
"35","LTU",0.980795120364114,0.693145842448852,1.44554738509984
"36","LUX",0.707325150259067,0.493322640842175,1.07079617073773
"37","LVA",0.987102916452622,0.696711735861393,1.45256232906282
"38","MEX",0.342949445449839,0.228733632996038,0.566707273255589
"39","MLT",0.86483076150337,0.604955896220078,1.28216725376349
"40","NLD",0.898423487133132,0.62935669201077,1.32995948494576
"41","NOR",0.815103751226488,0.570607061199763,1.21518867339017
"42","NZL",0.719950875447753,0.500490892232116,1.0848854891004
"43","OECD",0.834559150887903,0.586147140472809,1.24337274015503
"44","POL",0.797110608102087,0.555242415911389,1.19584480986571
"45","PRT",1.07492786311354,0.762995396546148,1.57443906666218
"46","ROU",0.858726104911569,0.600704692811976,1.27911195354791
"47","RUS",0.680866990411396,0.469895615221405,1.03674707582759
"48","SAU",0.162406663370609,0.0994096172343886,0.31982851132441
"49","SGP",0.610897446450339,0.415193991161868,0.940790524832617
"50","SVK",0.706645913496271,0.486749612385026,1.06982726264791
"51","SVN",0.943206600806744,0.663062490809401,1.39553664896983
"52","SWE",0.959191164048245,0.677317479966515,1.40997608575112
"53","TUR",0.400528911201736,0.268772057033129,0.646958744773851
"54","USA",0.75534294042267,0.525613853921965,1.13484185114097
"55","WLD",0.41086765613647,0.276715946601212,0.660746859055229
"56","ZAF",0.255677466821223,0.16619266540398,0.44501023597916
